,ADI,CPT,GL,RSG,V
nn,0.006212129390782481,0.0025976867390109966,0.0023742186277718492,0.002114505705803927,0.005345917945590834
garch,0.35778817011016617,0.4431792574838446,0.3005707415581186,0.3470534015014189,0.27324810533377875
arch,0.35778817011016617,0.4431792574838446,0.3005707415581186,0.3470534015014189,0.27324810533377875
gjr_garch,0.26829994835803517,0.22933983162857413,0.22686993486703574,0.1832383118604504,0.23223270425489467
egarch,203202443.72437304,32.04542530570047,379.51752764959065,249.14839734767233,13.783146390783399
