,ABC,ACN,ADI,ADM,AMCR,AOS,APA,ATO,BALL,BK,BMY,BSX,CB,CFG,COP,CTSH,CVS,DISH,ED,EFX,EXR,FE,FISV,FRC,FTNT,GM,GPC,HRL,HUM,IBM,INCY,INTU,ISRG,JCI,K,KMB,MPWR,MSFT,PAYC,PH,PSX,PXD,REGN,ROK,ROP,SHW,SNA,SYY,TDG,TEL,TMUS,TRMB,TSN,TXT,UA,VLO,WBA,WY,XEL,XRAY
rmse,0.0006071732905796302,0.001635492676602583,0.0007076991935560774,0.0012153083022615782,0.0019003018889106773,0.0015087688332249567,0.0012361777570358483,0.0006297815828512263,0.0012082963820194356,0.0017387213681309532,0.000608458950655683,0.0009721902787472918,0.00020069386807990128,0.0018599221519422177,0.0013662577843997522,0.001540179485153567,0.00044926228999312383,0.001291004487101499,0.0008647140168702858,0.000546951499300848,0.000958460306498668,0.000901204316393342,0.00037769946699596496,0.0009916314105409111,0.003245277550441862,0.003199050269392981,0.001911497136787603,0.0007501191620238667,0.001071795113002565,0.00033553608432893733,0.0011392313780057015,0.0013680942398797721,0.00024622738524569327,0.003362914993468658,0.00017537185604303592,0.0002693419917237293,0.0010580927606584421,0.0001788519681490352,0.000678303787315931,0.0009480815842874239,0.0011917752573565974,0.001185085126806539,0.005752612403713705,0.0015095593102335695,0.0012400735661647728,0.0004006489326655056,0.001222630423364274,0.0006706729292705883,0.0016687803307908601,0.0008712898939372764,0.0021065526719673943,0.0010046696835703684,0.001863582070967123,0.0014153239891336606,0.0028138160431011,0.0022984347030248287,0.001347874729050543,0.0007967006072534779,0.0006987051676734015,0.001467696141798704
mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
variance,0.3295457465002515,0.2684394287907434,0.2733476747519943,0.18397938589267762,0.3238054364185756,0.30289393965143313,0.33822161077824886,0.15919058168410322,0.25547073376342355,0.13277636055551847,1.2907092429415818,0.22715182149844598,0.10694478579804338,0.669300344600935,0.6740350330827657,0.3242287128468188,0.31507163443434255,0.8050428762115119,0.09437855246313016,0.23512929494316295,0.19879924816555214,0.22184654504484183,0.07404043498331028,0.1953769881436532,2.242311997504567,0.33642557971737896,0.214393602231495,0.3236578845235736,0.23464726376701672,0.08636272010897877,0.6856006702174358,0.48240282835793,0.39425032890374484,0.1453036969469712,0.28280009434511955,0.2772300392257319,0.1282121773158595,0.12555622080912235,2.2806607775369874,0.159448603149934,0.12131433750624235,0.6065808836537935,0.24014560175792507,0.8012316116191148,0.21158120868317934,0.7264228738417162,0.6202113086842602,0.15680209753802035,0.9413337787525148,0.2806649368342642,0.5451030968436372,0.29397209247280526,0.28519115593713773,0.68556723106679,5.76307584327806,0.1338465354831654,0.04765742469597971,0.17651935530174623,0.08610031900725386,0.1256357563726826
skewness,0.25163737083703647,0.29358184234421325,0.17004942645352494,0.11517246501906306,0.061877777203560164,0.2597259300168575,0.0339064356679691,0.03579981890470136,0.1267984483811066,0.033143805845099156,3.2196600015409476,0.11862305001368363,0.05001004318526267,0.4305667707797489,0.8121584228071499,0.14551042612993373,0.2690643325563137,1.0846798289477286,0.001845137232545798,0.21339912107230602,0.05819200621206643,0.12297957242939116,0.01301927360928638,0.030654913618048167,8.272969784303417,0.07535450551714894,0.11345126490907816,0.3025080216054569,0.0866512412040968,0.03345140572062724,0.04639972242454218,0.8162870945314229,0.5608888481552885,-0.020275896645604558,0.15092774413078075,0.2089294092261062,0.014154699059316772,0.038789667119800704,5.969137370573221,0.01319139682369797,0.022459831818270264,0.22994828639269252,0.004439200394852443,1.3459248567144935,0.17358035132317384,1.4688306055317364,1.1495536561641846,0.0680208491419456,1.2252616128595226,0.16818471321835918,0.269460270176688,0.13729800809283937,0.07871061026061268,0.8449524512856579,34.19923319114866,0.003685499634005628,0.0038170126910083693,0.07452525248638475,0.020934611938534728,0.023726991698171458
kurtosis,0.4883759580858054,0.49292613515404193,0.24401825431683716,0.16855899988656936,0.15578216672385645,0.46621141847337544,0.22957457041568666,0.0535038319409893,0.21127981565252255,0.0543567175089819,12.402805343468675,0.18896543694060985,0.04913810178115587,1.5282148961078446,2.1339907907195554,0.3081533992548791,0.40902018684962166,2.861552787202742,0.018613204702911636,0.3358510196860076,0.10826789966721162,0.20953530573031737,0.01255759045111684,0.10227339178552695,39.20369844649658,0.25587076695750766,0.1510120523776681,0.5796515357180837,0.1472285631550396,0.03687827212380937,1.0796739277609124,1.8486442236436103,1.1256947706603986,0.053003159751738686,0.2268889896896284,0.27117988513706404,0.04817417356515694,0.053195859873486975,27.78642133735045,0.050522798613393594,0.03712311944846251,1.0487042180688875,0.11766815757382017,3.7759040222902627,0.25964720780790845,3.988638446701815,2.9694421857282887,0.08785863919018946,3.6114195577830444,0.2677961286771821,0.7314689018942199,0.2878803224491314,0.21748230030041904,1.7972817907040903,265.97662113571243,0.04625762864471465,0.005560392931369544,0.09647392430485927,0.021414067391027247,0.03266570689144929
