,HUM,KEY,LNC,MOS,PYPL
nn,0.002382151633146811,0.0013184849273954122,0.006900154476134666,0.0008929618614985855,0.0007730746461210348
garch,0.11968880451925248,0.11680911635556242,0.12733126578091705,0.12843907784279684,0.0892462168534439
arch,0.11968880451925248,0.11680911635556242,0.12733126578091705,0.12843907784279684,0.0892462168534439
gjr_garch,0.11968824749989183,0.1263737686525413,0.1273902542467843,0.18215696876431256,0.0892504524400912
egarch,0.20032702979631414,0.18852173694606716,0.21827628926038656,0.1676215548599367,0.34893245967985653
